time	V(1)	V(2)	V(3)	V(4)	I(V1)	I(D1)	I(R1)	I(R2)	I(R3)	I(D2)
0	0	0	0	0	0	0	0	0	0	0
0.001	0.0314157	0.0314157	7.04333e-11	1.35449e-19	-2.34778e-14	2.34778e-14	2.34778e-14	-2.34778e-14	-2.70897e-23	2.70897e-23
0.002	0.0628302	0.0628302	3.06213e-10	5.8887e-19	-1.02071e-13	1.02071e-13	1.02071e-13	-1.02071e-13	-1.17774e-22	1.17774e-22
0.003	0.0942422	0.0942422	1.0954e-09	2.10655e-18	-3.65135e-13	3.65135e-13	3.65135e-13	-3.65135e-13	-4.21309e-22	4.21309e-22
0.004	0.12565	0.12565	3.73652e-09	7.18562e-18	-1.24551e-12	1.24551e-12	1.24551e-12	-1.24551e-12	-1.43712e-21	1.43712e-21
0.005	0.157054	0.157054	1.25735e-08	2.41797e-17	-4.19116e-12	4.19116e-12	4.19116e-12	-4.19116e-12	-4.83595e-21	4.83595e-21
0.006	0.188451	0.188451	4.21334e-08	8.10257e-17	-1.40445e-11	1.40445e-11	1.40445e-11	-1.40445e-11	-1.62051e-20	1.62051e-20
0.007	0.219841	0.21984	1.40981e-07	2.71119e-16	-4.69938e-11	4.69938e-11	4.69938e-11	-4.69938e-11	-5.42237e-20	5.42237e-20
0.008	0.251222	0.251221	4.71405e-07	9.06556e-16	-1.57135e-10	1.57135e-10	1.57135e-10	-1.57135e-10	-1.81311e-19	1.81311e-19
0.009	0.282593	0.282592	1.57541e-06	3.02973e-15	-5.25137e-10	5.25137e-10	5.25137e-10	-5.25137e-10	-6.05945e-19	6.05945e-19
0.01	0.313953	0.313949	5.26165e-06	1.01196e-14	-1.75388e-09	1.75388e-09	1.75388e-09	-1.75388e-09	-2.02391e-18	2.02391e-18
0.011	0.3453	0.345288	1.75549e-05	3.37709e-14	-5.85164e-09	5.85164e-09	5.85164e-09	-5.85164e-09	-6.75417e-18	6.75417e-18
0.012	0.376634	0.376595	5.84321e-05	1.12496e-13	-1.94774e-08	1.94774e-08	1.94774e-08	-1.94774e-08	-2.24991e-17	2.24991e-17
0.013	0.407953	0.407824	0.000193215	3.72951e-13	-6.4405e-08	6.4405e-08	6.4405e-08	-6.4405e-08	-7.45903e-17	7.45903e-17
0.014	0.439256	0.438838	0.000626403	1.21925e-12	-2.08801e-07	2.08801e-07	2.08801e-07	-2.08801e-07	-2.4385e-16	2.4385e-16
0.015	0.470542	0.469261	0.00192048	3.83306e-12	-6.40161e-07	6.40161e-07	6.40161e-07	-6.40161e-07	-7.66611e-16	7.66611e-16
0.016	0.501809	0.498352	0.00518547	1.1036e-11	-1.72849e-06	1.72849e-06	1.72849e-06	-1.72849e-06	-2.2072e-15	2.2072e-15
0.017	0.533056	0.525387	0.0115036	2.78256e-11	-3.83455e-06	3.83455e-06	3.83455e-06	-3.83455e-06	-5.56513e-15	5.56513e-15
0.018	0.564282	0.550339	0.0209142	6.17669e-11	-6.9714e-06	6.9714e-06	6.9714e-06	-6.9714e-06	-1.23534e-14	1.23534e-14
0.019	0.595486	0.573702	0.0326757	1.2567e-10	-1.08919e-05	1.08919e-05	1.08919e-05	-1.08919e-05	-2.51341e-14	2.51341e-14
0.02	0.626666	0.595984	0.0460233	2.42075e-10	-1.53411e-05	1.53411e-05	1.53411e-05	-1.53411e-05	-4.84149e-14	4.84149e-14
0.021	0.657822	0.617981	0.059761	4.31641e-10	-1.99203e-05	1.99203e-05	1.99203e-05	-1.99203e-05	-8.63282e-14	8.63282e-14
0.022	0.688951	0.642158	0.0701896	6.28398e-10	-2.33965e-05	2.33965e-05	2.33965e-05	-2.33965e-05	-1.2568e-13	1.2568e-13
0.023	0.720054	0.664233	0.0837308	1.09004e-09	-2.79103e-05	2.79103e-05	2.79103e-05	-2.79103e-05	-2.18008e-13	2.18008e-13
0.024	0.751128	0.683714	0.10112	2.2157e-09	-3.37068e-05	3.37068e-05	3.37068e-05	-3.37068e-05	-4.43139e-13	4.43139e-13
0.025	0.782172	0.703138	0.118552	4.43242e-09	-3.95172e-05	3.95172e-05	3.95172e-05	-3.95172e-05	-8.86485e-13	8.86485e-13
0.026	0.813186	0.722506	0.13602	8.80161e-09	-4.53399e-05	4.53399e-05	4.53399e-05	-4.53399e-05	-1.76032e-12	1.76032e-12
0.027	0.844167	0.741821	0.15352	1.74187e-08	-5.11734e-05	5.11734e-05	5.11734e-05	-5.11733e-05	-3.48374e-12	3.48374e-12
0.028	0.875115	0.761083	0.171049	3.44214e-08	-5.70163e-05	5.70163e-05	5.70163e-05	-5.70162e-05	-6.88429e-12	6.88429e-12
0.029	0.906029	0.780294	0.188602	6.79819e-08	-6.28673e-05	6.28673e-05	6.28673e-05	-6.28673e-05	-1.35964e-11	1.35964e-11
0.03	0.936907	0.799456	0.206176	1.34241e-07	-6.87253e-05	6.87253e-05	6.87253e-05	-6.87253e-05	-2.68482e-11	2.68482e-11
0.031	0.967747	0.818569	0.223767	2.65079e-07	-7.45892e-05	7.45892e-05	7.45892e-05	-7.45891e-05	-5.30158e-11	5.30158e-11
0.032	0.99855	0.837634	0.241373	5.2346e-07	-8.04578e-05	8.04578e-05	8.04578e-05	-8.04577e-05	-1.04692e-10	1.04692e-10
0.033	1.02931	0.856652	0.25899	1.03371e-06	-8.63303e-05	8.63303e-05	8.63303e-05	-8.63301e-05	-2.06743e-10	2.06743e-10
0.034	1.06004	0.875624	0.276616	2.04128e-06	-9.22056e-05	9.22056e-05	9.22056e-05	-9.22052e-05	-4.08257e-10	4.08257e-10
0.035	1.09072	0.89455	0.294247	4.03051e-06	-9.8083e-05	9.8083e-05	9.8083e-05	-9.80822e-05	-8.06102e-10	8.06102e-10
0.036	1.12135	0.91343	0.31188	7.95654e-06	-0.000103962	0.000103962	0.000103962	-0.00010396	-1.59131e-09	1.59131e-09
0.037	1.15195	0.932265	0.329514	1.57011e-05	-0.000109841	0.000109841	0.000109841	-0.000109838	-3.14023e-09	3.14023e-09
0.038	1.18249	0.951053	0.347145	3.09655e-05	-0.000115721	0.000115721	0.000115721	-0.000115715	-6.19309e-09	6.19309e-09
0.039	1.213	0.969793	0.364768	6.10083e-05	-0.000121601	0.000121601	0.000121601	-0.000121589	-1.22017e-08	1.22017e-08
0.04	1.24345	0.988483	0.382378	0.000119991	-0.000127483	0.000127483	0.000127483	-0.000127459	-2.39982e-08	2.39982e-08
0.041	1.27385	1.00711	0.399967	0.00023527	-0.000133369	0.000133369	0.000133369	-0.000133322	-4.7054e-08	4.7054e-08
0.042	1.30421	1.02568	0.417519	0.000458723	-0.000139265	0.000139265	0.000139265	-0.000139173	-9.17446e-08	9.17446e-08
0.043	1.33451	1.04415	0.435009	0.000885341	-0.00014518	0.00014518	0.00014518	-0.000145003	-1.77068e-07	1.77068e-07
0.044	1.36476	1.06249	0.452395	0.00167817	-0.000151134	0.000151134	0.000151134	-0.000150798	-3.35634e-07	3.35634e-07
0.045	1.39496	1.08065	0.469612	0.00308671	-0.000157155	0.000157155	0.000157155	-0.000156537	-6.17342e-07	6.17342e-07
0.046	1.4251	1.09854	0.48658	0.0054257	-0.000163279	0.000163279	0.000163279	-0.000162193	-1.08514e-06	1.08514e-06
0.047	1.45518	1.1161	0.503227	0.00898582	-0.00016954	0.00016954	0.00016954	-0.000167742	-1.79716e-06	1.79716e-06
0.048	1.48521	1.1333	0.519514	0.0139183	-0.000175955	0.000175955	0.000175955	-0.000173171	-2.78366e-06	2.78366e-06
